Repetition,Sample size,Reliability,metric,kind,category,type
14,1.0,-0.12059657173707672,r2,4.0,all,data
14,1.0,0.13193473193473182,r2,6.0,all,data
15,1.0,0.4568239764685952,correlation,all,all,data
15,1.0,0.14482278795958312,correlation,shuffled,all,data
15,1.0,0.44219360162708016,correlation,2.0,all,data
15,1.0,0.37513538018866216,correlation,5.0,all,data
15,1.0,0.5052578697229462,correlation,1.0,all,data
15,1.0,0.2800431732713315,correlation,0.0,all,data
15,1.0,0.4292704349310457,correlation,3.0,all,data
15,1.0,0.42673104617907753,correlation,7.0,all,data
15,1.0,0.41276831056717916,correlation,4.0,all,data
15,1.0,0.40414078682394033,correlation,6.0,all,data
15,1.0,0.0897080561714708,MSE,all,all,data
15,1.0,0.15770509977827052,MSE,shuffled,all,data
15,1.0,0.09047619047619047,MSE,2.0,all,data
15,1.0,0.08220720720720721,MSE,5.0,all,data
15,1.0,0.08029327610872675,MSE,1.0,all,data
15,1.0,0.09482758620689655,MSE,0.0,all,data
15,1.0,0.11153846153846154,MSE,3.0,all,data
15,1.0,0.09761904761904762,MSE,7.0,all,data
15,1.0,0.11574074074074074,MSE,4.0,all,data
15,1.0,0.1074561403508772,MSE,6.0,all,data
15,1.0,-0.04055578342903998,r2,all,all,data
15,1.0,-0.7756747946077649,r2,shuffled,all,data
15,1.0,0.10914058875083799,r2,2.0,all,data
15,1.0,-0.17197969543147207,r2,5.0,all,data
15,1.0,-0.07950349508474908,r2,1.0,all,data
15,1.0,-0.4132823698041086,r2,0.0,all,data
15,1.0,-0.06763285024154597,r2,3.0,all,data
15,1.0,0.1753048084387414,r2,7.0,all,data
15,1.0,0.028746331766116406,r2,4.0,all,data
15,1.0,-0.04064528821562097,r2,6.0,all,data
16,1.0,0.4852544295824269,correlation,all,all,data
16,1.0,0.15298178595183315,correlation,shuffled,all,data
16,1.0,0.4541044078917284,correlation,2.0,all,data
16,1.0,0.47265016917322117,correlation,5.0,all,data
16,1.0,0.49258011707764593,correlation,1.0,all,data
16,1.0,0.27995924088819935,correlation,0.0,all,data
16,1.0,0.4985216023267938,correlation,3.0,all,data
16,1.0,0.6333233151859969,correlation,7.0,all,data
16,1.0,0.44710455939320937,correlation,4.0,all,data
16,1.0,0.44406172372855746,correlation,6.0,all,data
16,1.0,0.10134885439763489,MSE,all,all,data
16,1.0,0.16463414634146342,MSE,shuffled,all,data
16,1.0,0.09444444444444444,MSE,2.0,all,data
16,1.0,0.13851351351351351,MSE,5.0,all,data
16,1.0,0.09138054363376252,MSE,1.0,all,data
16,1.0,0.09482758620689655,MSE,0.0,all,data
16,1.0,0.13076923076923078,MSE,3.0,all,data
16,1.0,0.08095238095238096,MSE,7.0,all,data
16,1.0,0.10648148148148148,MSE,4.0,all,data
16,1.0,0.13157894736842105,MSE,6.0,all,data
16,1.0,-0.07405087664796506,r2,all,all,data
16,1.0,-0.678386085870986,r2,shuffled,all,data
16,1.0,-0.15453744493392074,r2,2.0,all,data
16,1.0,-0.1202275678684066,r2,5.0,all,data
16,1.0,-0.07672860889393651,r2,1.0,all,data
16,1.0,-0.672346002621232,r2,0.0,all,data
16,1.0,-0.23230535894843296,r2,3.0,all,data
16,1.0,0.1551104262968669,r2,7.0,all,data
16,1.0,-0.05512653872620232,r2,4.0,all,data
16,1.0,0.2827772160431413,r2,6.0,all,data
17,1.0,0.48846001842946163,correlation,all,all,data
17,1.0,0.14951919814795836,correlation,shuffled,all,data
17,1.0,0.4848597449222207,correlation,2.0,all,data
17,1.0,0.4859927061459859,correlation,5.0,all,data
17,1.0,0.4968200891060711,correlation,1.0,all,data
17,1.0,0.2693022627865244,correlation,0.0,all,data
17,1.0,0.4821556474214016,correlation,3.0,all,data
17,1.0,0.5612279960209232,correlation,7.0,all,data
17,1.0,0.4623283302563443,correlation,4.0,all,data
